Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
10_64,10,4,3,3,1-3*t+ 6*t^2-10*t^3+ 11*t^4-10*t^5+ 6*t^6-3*t^7+ t^8
10_65,10,3,3,4,2-7*t+ 14*t^2-17*t^3+ 14*t^4-7*t^5+ 2*t^6
10_66,10,3,3,4,3-9*t+ 16*t^2-19*t^3+ 16*t^4-9*t^5+ 3*t^6
10_67,10,2,3,5,4-16*t+ 23*t^2-16*t^3+ 4*t^4
10_68,10,2,3,5,4-14*t+ 21*t^2-14*t^3+ 4*t^4
10_69,10,3,3,5,1-7*t+ 21*t^2-29*t^3+ 21*t^4-7*t^5+ t^6
10_70,10,3,3,5,1-7*t+ 16*t^2-19*t^3+ 16*t^4-7*t^5+ t^6
10_71,10,3,3,5,1-7*t+ 18*t^2-25*t^3+ 18*t^4-7*t^5+ t^6
10_72,10,3,3,4,2-9*t+ 16*t^2-19*t^3+ 16*t^4-9*t^5+ 2*t^6
10_73,10,3,3,5,1-7*t+ 20*t^2-27*t^3+ 20*t^4-7*t^5+ t^6
10_74,10,2,3,5,4-16*t+ 23*t^2-16*t^3+ 4*t^4
10_75,10,3,3,5,1-7*t+ 19*t^2-27*t^3+ 19*t^4-7*t^5+ t^6
10_76,10,3,3,4,2-7*t+ 12*t^2-15*t^3+ 12*t^4-7*t^5+ 2*t^6
10_77,10,3,3,4,2-7*t+ 14*t^2-17*t^3+ 14*t^4-7*t^5+ 2*t^6
10_78,10,3,3,5,1-7*t+ 16*t^2-21*t^3+ 16*t^4-7*t^5+ t^6
10_79,10,4,3,3,1-3*t+ 7*t^2-12*t^3+ 15*t^4-12*t^5+ 7*t^6-3*t^7+ t^8
10_80,10,3,3,4,3-9*t+ 15*t^2-17*t^3+ 15*t^4-9*t^5+ 3*t^6
10_81,10,3,3,5,1-8*t+ 20*t^2-27*t^3+ 20*t^4-8*t^5+ t^6
10_82,10,4,3,3,1-4*t+ 8*t^2-12*t^3+ 13*t^4-12*t^5+ 8*t^6-4*t^7+ t^8
10_83,10,3,3,4,2-9*t+ 19*t^2-23*t^3+ 19*t^4-9*t^5+ 2*t^6
10_84,10,3,3,4,2-9*t+ 20*t^2-25*t^3+ 20*t^4-9*t^5+ 2*t^6
10_85,10,4,3,3,1-4*t+ 8*t^2-10*t^3+ 11*t^4-10*t^5+ 8*t^6-4*t^7+ t^8
10_86,10,3,3,4,2-9*t+ 19*t^2-25*t^3+ 19*t^4-9*t^5+ 2*t^6
10_87,10,3,3,4,2-9*t+ 18*t^2-23*t^3+ 18*t^4-9*t^5+ 2*t^6
10_88,10,3,3,5,1-8*t+ 24*t^2-35*t^3+ 24*t^4-8*t^5+ t^6
10_89,10,3,3,5,1-8*t+ 24*t^2-33*t^3+ 24*t^4-8*t^5+ t^6
10_90,10,3,3,4,2-8*t+ 17*t^2-23*t^3+ 17*t^4-8*t^5+ 2*t^6
10_91,10,4,3,3,1-4*t+ 9*t^2-14*t^3+ 17*t^4-14*t^5+ 9*t^6-4*t^7+ t^8
10_92,10,3,3,4,2-10*t+ 20*t^2-25*t^3+ 20*t^4-10*t^5+ 2*t^6
